Species,Island,Bill Length Mm,Bill Depth Mm,Flipper Length Mm,Body Mass G,Sex,Mass/Flipper,Bill Length Mm Outlier,Bill Depth Mm Outlier,Flipper Length Mm Outlier,Body Mass G Outlier,Mass/Flipper Outlier
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,17.5531914893617,False,False,False,False,False
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,21.195652173913043,False,False,False,False,False
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,17.05128205128205,False,False,False,False,False
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,21.1734693877551,False,False,False,False,False
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,20.789473684210527,False,False,False,False,False
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,19.72222222222222,False,False,False,False,False
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,18.23204419889503,False,False,False,False,False
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,25.27173913043478,False,False,False,False,False
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,17.307692307692307,False,False,False,False,False
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,20.0,False,False,False,False,False
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,16.666666666666668,False,False,False,False,False
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,22.448979591836736,False,False,False,False,False
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,16.216216216216218,False,False,False,False,False
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,24.210526315789473,False,False,False,False,False
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,18.818681318681318,False,False,False,False,False
Adelie,Dream,37.5,18.9,179.0,2975.0,,16.620111731843576,False,False,False,False,False
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,18.157894736842106,False,False,False,False,False
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,21.727748691099478,False,False,False,False,False
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,18.817204301075268,False,False,False,False,False
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,22.872340425531913,False,False,False,False,False
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,18.157894736842106,False,False,False,False,False
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,20.25,False,False,False,False,False
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,15.508021390374331,False,False,False,False,False
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,19.3717277486911,False,False,False,False,False
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,19.086021505376344,False,False,False,False,False
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,19.689119170984455,False,False,False,False,False
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,15.74585635359116,False,False,False,False,False
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,19.329896907216494,False,False,False,False,False
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,17.027027027027028,False,False,False,False,False
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,22.564102564102566,False,False,False,False,False
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,19.45945945945946,False,False,False,False,False
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,21.09375,False,False,False,False,False
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,15.48913043478261,False,False,False,False,False
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,20.572916666666668,False,False,False,False,False
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,17.17948717948718,False,False,False,False,False
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,21.80851063829787,False,False,False,False,False
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,16.05263157894737,False,False,False,False,False
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,22.474747474747474,False,False,False,False,False
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,18.94736842105263,False,False,False,False,False
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,20.526315789473685,False,False,False,False,False
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,18.112244897959183,False,False,False,False,False
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,21.065989847715738,False,False,False,False,False
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,19.473684210526315,False,False,False,False,False
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,21.794871794871796,False,False,False,False,False
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,19.3717277486911,False,False,False,False,False
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,21.195652173913043,False,False,False,False,False
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,18.983957219251337,False,False,False,False,False
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,20.512820512820515,False,False,False,False,False
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,16.93121693121693,False,False,False,False,False
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,23.979591836734695,False,False,False,False,False
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,20.32085561497326,False,False,False,False,False
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,21.761658031088082,False,False,False,False,False
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,17.539267015706805,False,False,False,False,False
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,18.298969072164947,False,False,False,False,False
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,20.0,False,False,False,False,False
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,18.51851851851852,False,False,False,False,False
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,20.8994708994709,False,False,False,False,False
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,18.94736842105263,False,False,False,False,False
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,17.574257425742573,False,False,False,False,False
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,20.975609756097562,False,False,False,False,False
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,18.37837837837838,False,False,False,False,False
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,23.9247311827957,False,False,False,False,False
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,17.647058823529413,False,False,False,False,False
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,20.673076923076923,False,False,False,False,False
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,19.473684210526315,False,False,False,False,False
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,22.193877551020407,False,False,False,False,False
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,16.292134831460675,False,False,False,False,False
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,21.354166666666668,False,False,False,False,False
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,19.401041666666668,False,False,False,False,False
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,23.275862068965516,False,False,False,False,False
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,16.80327868852459,False,False,False,False,False
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,22.36842105263158,False,False,False,False,False
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,15.155440414507773,False,False,False,False,False
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,19.293478260869566,False,False,False,False,False
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,18.844221105527637,False,False,False,False,False
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,20.526315789473685,False,False,False,False,False
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,17.5414364640884,False,False,False,False,False
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,24.238578680203045,False,False,False,False,False
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,19.318181818181817,False,False,False,False,False
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,24.083769633507853,False,False,False,False,False
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,16.580310880829014,False,False,False,False,False
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,21.700507614213198,False,False,False,False,False
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,20.418848167539267,False,False,False,False,False
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,20.790816326530614,False,False,False,False,False
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,15.425531914893616,False,False,False,False,False
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,18.969849246231156,False,False,False,False,False
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,17.724867724867725,False,False,False,False,False
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,17.59259259259259,False,False,False,False,False
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,16.844919786096256,False,False,False,False,False
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,17.67676767676768,False,False,False,False,False
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,19.602272727272727,False,False,False,False,False
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,19.183168316831683,False,False,False,False,False
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,16.397849462365592,False,False,False,False,False
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,20.100502512562816,False,False,False,False,False
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,17.146596858638745,False,False,False,False,False
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,22.05128205128205,False,False,False,False,False
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,15.968586387434556,False,False,False,False,False
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,19.047619047619047,False,False,False,False,False
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,17.5,False,False,False,False,False
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,17.766497461928935,False,False,False,False,False
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,18.134715025906736,False,False,False,False,False
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,22.487437185929647,False,False,False,False,False
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,18.315508021390375,False,False,False,False,False
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,20.526315789473685,False,False,False,False,False
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,16.623036649214658,False,False,False,False,False
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,19.875,False,False,False,False,False
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,18.37837837837838,False,False,False,False,False
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,22.020725388601036,False,False,False,False,False
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,17.616580310880828,False,False,False,False,False
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,18.58288770053476,False,False,False,False,False
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,16.22340425531915,False,False,False,False,False
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,19.605263157894736,False,False,False,False,False
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,15.625,False,False,False,False,False
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,19.72972972972973,False,False,False,False,False
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,22.36842105263158,False,False,False,False,False
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,18.88586956521739,False,False,False,False,False
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,17.692307692307693,False,False,False,False,False
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,19.430051813471504,False,False,False,False,False
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,19.78609625668449,False,False,False,False,False
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,19.90049751243781,False,False,False,False,False
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,18.229166666666668,False,False,False,False,False
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,19.897959183673468,False,False,False,False,False
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,18.911917098445596,False,False,False,False,False
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,18.75,False,False,False,False,False
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,18.908629441624367,False,False,False,False,False
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,19.949494949494948,False,False,False,False,False
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,18.258426966292134,False,False,False,False,False
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,19.03553299492386,False,False,False,False,False
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,21.28205128205128,False,False,False,False,False
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,18.68686868686869,False,False,False,False,False
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,19.689119170984455,False,False,False,False,False
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,19.45876288659794,False,False,False,False,False
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,20.0,False,False,False,False,False
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,20.149253731343283,False,False,False,False,False
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,18.81578947368421,False,False,False,False,False
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,20.149253731343283,False,False,False,False,False
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,16.751269035532996,False,False,False,False,False
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,20.441988950276244,False,False,False,False,False
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,18.157894736842106,False,False,False,False,False
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,22.564102564102566,False,False,False,False,False
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,19.88950276243094,False,False,False,False,False
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,17.801047120418847,False,False,False,False,False
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,15.508021390374331,False,False,False,False,False
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,19.689119170984455,False,False,False,False,False
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,16.923076923076923,False,False,False,False,False
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,21.065989847715738,False,False,False,False,False
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,17.0,False,False,False,False,False
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,19.0,False,False,False,False,False
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,19.3717277486911,False,False,False,False,False
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,22.195121951219512,False,False,False,False,False
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,17.112299465240643,False,False,False,False,False
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,21.393034825870647,False,False,False,False,False
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,17.914438502673796,False,False,False,False,False
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,20.19704433497537,False,False,False,False,False
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,18.46153846153846,False,False,False,False,False
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,19.597989949748744,False,False,False,False,False
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,19.743589743589745,False,False,False,False,False
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,22.857142857142858,False,False,False,False,False
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,14.0625,False,False,False,False,False
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,21.951219512195124,False,False,False,False,False
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,18.80952380952381,False,False,False,False,False
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,19.518716577540108,False,False,False,False,False
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,18.112244897959183,False,False,False,False,False
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,17.857142857142858,False,False,False,False,False
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,18.75,False,False,False,False,False
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,22.139303482587064,False,False,False,False,False
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,17.894736842105264,False,False,False,False,False
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,20.28301886792453,False,False,False,False,False
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,17.379679144385026,False,False,False,False,False
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,18.560606060606062,False,False,False,False,False
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,16.70854271356784,False,False,False,False,False
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,19.65174129353234,False,False,False,False,False
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,18.65284974093264,False,False,False,False,False
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,19.950738916256157,False,False,False,False,False
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,17.914438502673796,False,False,False,False,False
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,17.512690355329948,False,False,False,False,False
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,17.015706806282722,False,False,False,False,False
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,19.950738916256157,False,False,False,False,False
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,18.81188118811881,False,False,False,False,False
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,18.170103092783506,False,False,False,False,False
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,19.174757281553397,False,False,False,False,False
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,19.312169312169313,False,False,False,False,False
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,18.71794871794872,False,False,False,False,False
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,19.32367149758454,False,False,False,False,False
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,16.831683168316832,False,False,False,False,False
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,19.559585492227978,False,False,False,False,False
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,19.523809523809526,False,False,False,False,False
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,19.065656565656564,False,False,False,False,False
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,21.327014218009477,False,False,False,False,False
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,24.782608695652176,False,False,False,False,False
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,21.19047619047619,False,False,False,False,False
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,26.146788990825687,False,False,False,False,False
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,25.11627906976744,False,False,False,False,False
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,21.666666666666668,False,False,False,False,False
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,22.748815165876778,False,False,False,False,False
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,23.744292237442924,False,False,False,False,False
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,21.05263157894737,False,False,False,False,False
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,23.953488372093023,False,False,False,False,False
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,21.72897196261682,False,False,False,False,False
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,25.694444444444443,False,False,False,False,False
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,21.72897196261682,False,False,False,False,False
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,27.464788732394368,False,False,False,False,False
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,20.0,False,False,False,False,False
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,26.95852534562212,False,False,False,False,False
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,19.761904761904763,False,False,False,False,False
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,28.506787330316744,False,False,False,False,False
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,22.966507177033492,False,False,False,False,False
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,24.0990990990991,False,False,False,False,False
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,26.146788990825687,False,False,False,False,False
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,23.25581395348837,False,False,False,False,False
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,20.657276995305164,False,False,False,False,False
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,23.488372093023255,False,False,False,False,False
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,23.25581395348837,False,False,False,False,False
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,23.72093023255814,False,False,False,False,False
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,18.98148148148148,False,False,False,False,False
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,26.27906976744186,False,False,False,False,False
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,21.904761904761905,False,False,False,False,False
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,25.227272727272727,False,False,False,False,False
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,23.64864864864865,False,False,False,False,False
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,22.48803827751196,False,False,False,False,False
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,24.396135265700483,False,False,False,False,False
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,26.304347826086957,False,False,False,False,False
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,23.40909090909091,False,False,False,False,False
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male,24.545454545454547,False,False,False,False,False
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,23.239436619718308,False,False,False,False,False
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,23.972602739726028,False,False,False,False,False
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,20.91346153846154,False,False,False,False,False
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,25.721153846153847,False,False,False,False,False
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,18.990384615384617,False,False,False,False,False
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male,25.333333333333332,False,False,False,False,False
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,Female,20.476190476190474,False,False,False,False,False
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,21.99074074074074,False,False,False,False,False
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,25.0,False,False,False,False,False
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,22.580645161290324,False,False,False,False,False
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,20.0,False,False,False,False,False
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,24.0,False,False,False,False,False
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,23.943661971830984,False,False,False,False,False
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,24.651162790697676,False,False,False,False,False
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,23.095238095238095,False,False,False,False,False
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,24.09090909090909,False,False,False,False,False
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,20.952380952380953,False,False,False,False,False
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,22.22222222222222,False,False,False,False,False
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,22.580645161290324,False,False,False,False,False
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,22.954545454545453,False,False,False,False,False
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,20.673076923076923,False,False,False,False,False
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,Male,22.727272727272727,False,False,False,False,False
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,21.39423076923077,False,False,False,False,False
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,24.776785714285715,False,False,False,False,False
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,20.192307692307693,False,False,False,False,False
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,23.981900452488688,False,False,False,False,False
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,Female,20.560747663551403,False,False,False,False,False
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,24.458874458874458,False,False,False,False,False
